rank,uri,artist_names,track_name,peak_rank,previous_rank,weeks_on_chart,streams,date,country,source
70,spotify:track:1K5KBOgreBi5fkEHvg5ap3,"Future, Drake",Life Is Good (feat. Drake),2,72,61,2251269,2021-03-11,US,Epic/Freebandz
71,spotify:track:5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Daddy Issues,59,62,26,2225889,2021-03-11,US,Columbia
72,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,6,70,27,2205556,2021-03-11,US,Rhino/Warner Records
73,spotify:track:2kS6td1yvmpNgZTt1q5pQq,Mother Mother,Hayloft,64,65,11,2193303,2021-03-11,US,Last Gang
74,spotify:track:1J14CdDAvBTE1AJYUOwl6C,Duncan Laurence,Arcade,63,63,4,2187513,2021-03-11,US,"Universal Music, a division of Universal International Music BV"
75,spotify:track:57VeLYXrvNxe8Vs18K2M9W,"Jack Harlow, Big Sean",Way Out (feat. Big Sean),24,80,13,2178426,2021-03-11,US,Generation Now/Atlantic
76,spotify:track:5SWnsxjhdcEDc7LJjq9UHk,"21 Savage, Metro Boomin",Runnin,3,81,23,2167448,2021-03-11,US,"Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic"
77,spotify:track:43CIWpJaJHRcI4mUSjqgc2,"Juice WRLD, Young Thug",Bad Boy (with Young Thug),3,61,8,2123087,2021-03-11,US,Grade A Productions/Interscope Records
78,spotify:track:6f3Slt0GbA2bPZlz0aIFXN,Tiësto,The Business,69,69,8,2104582,2021-03-11,US,Atlantic Records
79,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,4,71,69,2098828,2021-03-11,US,Columbia
80,spotify:track:42lqBjPYlmL1EXpMDXvhSN,Morgan Wallen,Somebody’s Problem,4,67,16,2094167,2021-03-11,US,Big Loud / Republic
81,spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,BØRNS,Electric Love,44,75,37,2088815,2021-03-11,US,UMGRI Interscope
82,spotify:track:3Uo7WG0vmLQ07WB4BDwy7D,Taylor Swift,willow,1,66,13,2081320,2021-03-11,US,Taylor Swift
83,spotify:track:6foY66mWZN0pSRjZ408c00,Morgan Wallen,Whiskey Glasses,59,76,98,2080235,2021-03-11,US,Big Loud Records
84,spotify:track:7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,Jocelyn Flores,3,79,185,2063217,2021-03-11,US,Bad Vibes Forever / EMPIRE
85,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,Lewis Capaldi,Before You Go,42,78,68,2061574,2021-03-11,US,Vertigo Berlin
86,spotify:track:17vGPZ5EsdvtgAOCD4FLWI,Pop Smoke,AP - Music from the film Boogie,33,33,2,2061154,2021-03-11,US,Victor Victor Worldwide / Republic Records
87,spotify:track:5u1n1kITHCxxp8twBcZxWy,"Justin Bieber, Chance the Rapper",Holy (feat. Chance The Rapper),3,74,25,2056912,2021-03-11,US,RBMG/Def Jam
88,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,8,73,219,2052874,2021-03-11,US,Cactus Jack / Epic
89,spotify:track:7o4gBbTM6UBLkOYPw9xMCz,"DDG, Blueface",Moonwalking in Calabasas (feat. Blueface) - Remix,40,101,22,2032939,2021-03-11,US,Epic
90,spotify:track:0rKtyWc8bvkriBthvHKY8d,Joji,SLOW DANCING IN THE DARK,29,82,129,2015304,2021-03-11,US,88rising Music/Warner Records
91,spotify:track:6AGOKlMZWLCaEJGnaROtF9,Ritt Momney,Put Your Records On,16,85,26,2014666,2021-03-11,US,Columbia
92,spotify:track:2HYvkdq6lpFXkVz9Tfqi8r,Kevin Gates,Big Gangsta,92,175,2,2010502,2021-03-11,US,Bread Winners' Association
93,spotify:track:6EDO9iiTtwNv6waLwa1UUq,"DJ Khaled, Drake",POPSTAR (feat. Drake),4,115,34,1991725,2021-03-11,US,OVO/We The Best/Epic
94,spotify:track:7eJMfftS33KTjuF7lTsMCx,"Powfu, beabadoobee",death bed (coffee for your head),9,88,56,1980722,2021-03-11,US,Columbia
95,spotify:track:5OELUCYgOHKFAvCERnAvfS,Morgan Wallen,More Than My Hometown,21,83,46,1948312,2021-03-11,US,Big Loud / Republic
96,spotify:track:2mt1IqcFyY1zmYZT8Q3xw9,blackbear,hot girl bummer,4,92,81,1947336,2021-03-11,US,Alamo
97,spotify:track:5VlTQnZO89Ioku8ssdbqJk,Brent Faiyaz,Dead Man Walking,71,91,14,1946995,2021-03-11,US,Lost Kids
98,spotify:track:4obHzpwGrjoTuZh2DItEMZ,Morgan Wallen,7 Summers,3,84,30,1941672,2021-03-11,US,Big Loud / Republic
99,spotify:track:4saklk6nie3yiGePpBwUoc,BTS,Dynamite,4,89,29,1940978,2021-03-11,US,BIGHIT MUSIC
100,spotify:track:2Lhdl74nwwVGOE2Gv35QuK,Gym Class Heroes,Cupid's Chokehold / Breakfast in America,100,-1,1,1927852,2021-03-11,US,Decaydance/Fueled By Ramen/ATL
1,spotify:track:00Blm7zeNqgYLPtW6zg8cj,"Post Malone, The Weeknd",One Right Now (with The Weeknd),1,-1,1,8118535,2021-11-11,US,Republic Records
2,spotify:track:0gplL1WMoJ6iYaPgMCL0gX,Adele,Easy On Me,1,1,4,7921523,2021-11-11,US,Columbia
3,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),1,2,16,7807640,2021-11-11,US,Columbia
4,spotify:track:4R67rQNSbbsR4TdUVOIdez,Travis Scott,ESCAPE PLAN,4,-1,1,7559718,2021-11-11,US,Cactus Jack/Epic
5,spotify:track:4iN16F8JtVxG2UTzp3avGl,"Bruno Mars, Anderson .Paak, Silk Sonic",Smokin Out The Window,5,-1,1,7279340,2021-11-11,US,Aftermath Entertainment/Atlantic
6,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),1,3,18,6942109,2021-11-11,US,Columbia
7,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,4,4,50,6344999,2021-11-11,US,Polydor Records
8,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,"Drake, 21 Savage, Project Pat",Knife Talk (with 21 Savage ft. Project Pat),2,5,10,6067231,2021-11-11,US,OVO
9,spotify:track:08F16baYbciTva9P4BvpiI,Travis Scott,MAFIA,9,-1,1,5548181,2021-11-11,US,Cactus Jack/Epic
10,spotify:track:6f5ExP43esnvdKPddwKXJH,"NEIKED, Mae Muller, Polo G",Better Days (NEIKED x Mae Muller x Polo G),6,6,4,5276197,2021-11-11,US,Capitol Records UK / EMI
11,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,"Drake, Future, Young Thug",Way 2 Sexy (with Future & Young Thug),1,7,10,5265888,2021-11-11,US,OVO
12,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Need to Know,4,9,22,4925210,2021-11-11,US,Kemosabe Records/RCA Records
13,spotify:track:50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,8,8,9,4887581,2021-11-11,US,Atlantic Records UK
14,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,1,12,26,4477759,2021-11-11,US,Olivia Rodrigo PS
15,spotify:track:08SB2OtZkaliju77WYEKxk,"Summer Walker, SZA",No Love (with SZA),15,-1,1,4375501,2021-11-11,US,LVRN/Interscope Records
16,spotify:track:07MDkzWARZaLEdKxo6yArG,"THE ANXIETY, WILLOW, Tyler Cole",Meet Me At Our Spot,10,11,12,4352981,2021-11-11,US,"MSFTSMusic / Roc Nation Records, LLC"
17,spotify:track:3QFInJAm9eyaho5vBzxInN,"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),8,14,11,4278282,2021-11-11,US,Columbia
18,spotify:track:3DarAbFujv6eYNliUTyqtz,"Doja Cat, SZA",Kiss Me More (feat. SZA),1,13,31,4168412,2021-11-11,US,Kemosabe Records/RCA Records
19,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,12,15,20,3843034,2021-11-11,US,Kemosabe Records/RCA Records
20,spotify:track:3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,Bad Habits,7,10,20,3818031,2021-11-11,US,Atlantic Records UK
21,spotify:track:7rglLriMNBPAyuJOMGwi39,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,21,21,12,3816244,2021-11-11,US,EMI
22,spotify:track:4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,3,19,15,3752697,2021-11-11,US,Darkroom/Interscope Records
23,spotify:track:37y7iDayfwm3WXn5BiAoRk,Steve Lacy,Dark Red,23,26,14,3521915,2021-11-11,US,Three Quarter
24,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,4,17,8,3459738,2021-11-11,US,Columbia
25,spotify:track:1SC5rEoYDGUK4NfG82494W,Lil Nas X,MONTERO (Call Me By Your Name),1,18,33,3374220,2021-11-11,US,Columbia
26,spotify:track:4yNoUQkYf1QF8iYlEzNynH,"Nardo Wick, G Herbo, Lil Durk, 21 Savage","Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",23,23,5,3348095,2021-11-11,US,Not specified
27,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,3,24,25,3344033,2021-11-11,US,Olivia Rodrigo PS
28,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,19,29,64,3335033,2021-11-11,US,Columbia
29,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,Sleepy Hallow,2055,8,25,21,3303337,2021-11-11,US,Winners Circle/RCA Records
30,spotify:track:40iJIUlhi6renaREYGeIDS,"Drake, Travis Scott",Fair Trade (with Travis Scott),3,27,10,3290958,2021-11-11,US,OVO
31,spotify:track:3NqBxTOMCJ3zW9CIP51td4,"Eslabon Armado, DannyLux",Jugaste y Sufrí,23,28,12,3278981,2021-11-11,US,DEL Records
32,spotify:track:04S1pkp1VaIqjg8zZqknR5,Taylor Swift,Enchanted,32,-1,1,3241429,2021-11-11,US,"Big Machine Records, LLC"
33,spotify:track:0WSEq9Ko4kFPt8yo3ICd6T,Kanye West,Praise God,7,37,11,3145600,2021-11-11,US,Rock The World/IDJ/Kanye LP7
34,spotify:track:2B4GHvToeLTOBB4QLzW3Ni,Farruko,Pepas,20,31,16,3000961,2021-11-11,US,Sony Music Latin
35,spotify:track:29TPjc8wxfz4XMn21O7VsZ,Playboi Carti,Sky,35,48,12,2982581,2021-11-11,US,AWGE/Interscope Records
36,spotify:track:15HMh4yxdf4wyxSZSlOgGZ,"Amaarae, Kali Uchis, Moliy",SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),36,100,2,2967145,2021-11-11,US,0207 Def Jam
37,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),4,22,58,2964824,2021-11-11,US,Warner Records
38,spotify:track:2gpWyfu7eZ01zzncHpxOtA,"Swedish House Mafia, The Weeknd",Moth To A Flame (with The Weeknd),5,20,3,2951275,2021-11-11,US,Republic Records
39,spotify:track:18vXApRmJSgQ6wG2ll9AOg,Polo G,RAPSTAR,1,36,31,2901740,2021-11-11,US,Columbia
40,spotify:track:2Xr1dTzJee307rmrkt8c0g,CKay,love nwantiti (ah ah ah),30,34,8,2832641,2021-11-11,US,Chocolate City Music
41,spotify:track:0lnpnsrVaW9elGgRxpDCgE,Walker Hayes,Fancy Like,22,39,20,2787288,2021-11-11,US,Monument Records
42,spotify:track:3Wrjm47oTz2sjIgck11l5e,Måneskin,Beggin',5,38,21,2765587,2021-11-11,US,RCA Records Label
43,spotify:track:0k4d5YPDr1r7FX77VdqWez,"Doja Cat, The Weeknd",You Right,4,42,20,2747522,2021-11-11,US,Kemosabe Records/RCA Records
44,spotify:track:7MAibcTli4IisCtbHKrGMh,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,4,87,36,2744239,2021-11-11,US,Aftermath Entertainment/Atlantic
45,spotify:track:4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,45,55,5,2691160,2021-11-11,US,Warner Records
46,spotify:track:7hU3IHwjX150XLoTVmjD0q,LISA,MONEY,27,35,6,2648296,2021-11-11,US,YG Entertainment/Interscope Records
47,spotify:track:0W6I02J9xcqK8MtSeosEXb,Doja Cat,Get Into It (Yuh),18,40,20,2627067,2021-11-11,US,Kemosabe Records/RCA Records
48,spotify:track:1z7LV5wkExwW8YJk0IrPUA,"NLE Choppa, Polo G",Jumpin (feat. Polo G),48,-1,1,2601671,2021-11-11,US,Warner Records
49,spotify:track:62vpWI1CHwFy7tMIcSStl8,J. Cole,No Role Modelz,43,49,196,2598233,2021-11-11,US,Roc Nation Records LLC
50,spotify:track:0eu4C55hL6x29mmeAjytzC,Oliver Tree,Life Goes On,31,46,9,2539295,2021-11-11,US,Atlantic Records
51,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,24,53,8,2506834,2021-11-11,US,RBMG/Def Jam
52,spotify:track:37Nqx7iavZpotJSDXZWbJ3,"Drake, Lil Baby",Girls Want Girls (with Lil Baby),1,43,10,2484216,2021-11-11,US,OVO
53,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,1,30,102,2478253,2021-11-11,US,Republic Records
54,spotify:track:7EkWXAI1wn8Ii883ecd9xr,Surf Curse,Freaks,31,56,29,2456974,2021-11-11,US,Surf Curse
55,spotify:track:46HNZY1i7O6jwTA7Slo2PI,"Coldplay, BTS",My Universe,19,45,7,2445095,2021-11-11,US,Parlophone UK
56,spotify:track:4btFHqumCO31GksfuBLLv3,Ed Sheeran,Overpass Graffiti,16,16,2,2403709,2021-11-11,US,Atlantic Records UK
57,spotify:track:2gQPv5jvVPqU2a9HhMNO1v,BoyWithUke,Toxic,57,90,2,2401404,2021-11-11,US,Republic Records
58,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,1,107,35,2399478,2021-11-11,US,Columbia
59,spotify:track:1De7cOMrdUnVpjWBaowMg4,"Summer Walker, JT, City Girls",Ex For A Reason (with JT from City Girls),59,-1,1,2382006,2021-11-11,US,LVRN/Interscope Records
60,spotify:track:65OVbaJR5O1RmwOQx0875b,"Drake, Lil Baby",Wants and Needs (feat. Lil Baby),2,54,36,2374528,2021-11-11,US,OVO
61,spotify:track:5cwnxz6QPfbOf731UPqphs,"Summer Walker, Cardi B",Bitter - Narration By Cardi B,61,-1,1,2369959,2021-11-11,US,LVRN/Interscope Records
62,spotify:track:5lAnYvAIkSDNXqfo7DyFUm,Doja Cat,Ain't Shit,4,50,20,2321103,2021-11-11,US,Kemosabe Records/RCA Records
63,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,2,57,32,2306246,2021-11-11,US,Olivia Rodrigo PS
64,spotify:track:6Hfu9sc7jvv6coyy2LlzBF,Kanye West,Hurricane,1,47,11,2304618,2021-11-11,US,Rock The World/IDJ/Kanye LP7
65,spotify:track:135Lf4Q0CzlMNfOxbEUsLH,Benson Boone,GHOST TOWN,65,68,3,2268036,2021-11-11,US,"Night Street Records, Inc./Warner Records Inc."
66,spotify:track:21DN44aYlSoyfOQcboC0IP,Summer Walker,Throw It Away,66,-1,1,2253084,2021-11-11,US,LVRN/Interscope Records
67,spotify:track:5gZYpjakt37G3c58FKcQwJ,"Trippie Redd, Playboi Carti",Miss The Rage,4,59,27,2239918,2021-11-11,US,Homemade Projects / 10K Projects
68,spotify:track:7nc7mlSdWYeFom84zZ8Wr8,"Cochise, $NOT",Tell Em,26,62,24,2225949,2021-11-11,US,Columbia
69,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,1,61,44,2209864,2021-11-11,US,Olivia Rodrigo PS
70,spotify:track:5xGqh5mjKgOhp9TOlFeCcJ,Summer Walker,Reciprocate,70,-1,1,2185872,2021-11-11,US,LVRN/Interscope Records
71,spotify:track:3T9BKc4kB7ukeNQrCqv6ZV,"Meek Mill, Lil Durk, Lil Baby",Sharing Locations (feat. Lil Baby & Lil Durk),26,60,11,2179398,2021-11-11,US,MMG/Atlantic
72,spotify:track:0uxSUdBrJy9Un0EYoBowng,Lil Uzi Vert,20 Min,67,67,92,2163759,2021-11-11,US,Generation Now/Atlantic
73,spotify:track:6G2xXQRSZlEzYsUEb3uvuR,Ivan Cornejo,Está Dañada,44,58,6,2163382,2021-11-11,US,"Manzana Records, Inc."
74,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,1,69,160,2161103,2021-11-11,US,Republic Records
75,spotify:track:1q3RiD1tIWUpGsNFADMlvl,Taylor Swift,All Too Well,75,-1,1,2154947,2021-11-11,US,"Big Machine Records, LLC"
76,spotify:track:30QR0ndUdiiMQMA9g1PGCm,$uicideboy$,"...And to Those I Love, Thanks for Sticking Around",37,63,33,2141878,2021-11-11,US,G59 Records
77,spotify:track:3jfZ9M23l0L7RxzYMTgBTv,Joy Again,Looking Out for You,77,82,8,2139090,2021-11-11,US,Arista Records
78,spotify:track:2vWBUC9djv6BtiGlmKiQaH,Yot Club,YKWIM?,63,66,19,2122206,2021-11-11,US,yot club under exclusive license to Amuseio AB
79,spotify:track:4KDNRh9Oor80z3XIxdWlui,"Young Thug, Drake, Travis Scott",Bubbly (with Drake & Travis Scott),8,44,4,2100491,2021-11-11,US,300 Entertainment/Atl
80,spotify:track:4eL3XeuGaEoVT8ttDh3hwY,"Gunna, Future",too easy,28,65,7,2083087,2021-11-11,US,300 Entertainment
81,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,1,86,115,2072990,2021-11-11,US,Republic Records
82,spotify:track:081Shn2hU3YxvQmGaCPegr,"Summer Walker, Ari Lennox",Unloyal (with Ari Lennox),82,-1,1,2051995,2021-11-11,US,LVRN/Interscope Records
83,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,72,75,67,2045873,2021-11-11,US,Island Records
84,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,1,85,46,2042812,2021-11-11,US,Top Dawg Entertainment/RCA Records
85,spotify:track:1sx0XsWUusUoPstbvokZjP,Tai Verdes,AOK,39,71,22,2039816,2021-11-11,US,Arista Records
86,spotify:track:4VXIryQMWpIdGgYR4TrjT1,Juice WRLD,All Girls Are The Same,13,84,185,1984932,2021-11-11,US,Juice WRLD Mixtape / ISR P&D
87,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,8,102,254,1980463,2021-11-11,US,Cactus Jack / Epic
88,spotify:track:4gzsuuZypVbxs0Af1LSZyB,"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),18,70,6,1979046,2021-11-11,US,Neon16
89,spotify:track:1VLtjHwRWOVJiE5Py7JxoQ,Polo G,Martin & Gina,23,80,67,1974270,2021-11-11,US,Columbia
90,spotify:track:4cHKd6qPMR1TMx55KHlida,The Rare Occasions,Notion,90,166,4,1971698,2021-11-11,US,Elektra (NEK)
91,spotify:track:7gpIj4wMeTKptFxetrNKzY,Summer Walker,You Don’t Know Me,91,-1,1,1962141,2021-11-11,US,LVRN/Interscope Records
92,spotify:track:7H0ya83CMmgFcOhw0UB6ow,Beach House,Space Song,92,99,18,1960659,2021-11-11,US,Sub Pop Records
93,spotify:track:1luvsaicSpNDRLgOtRZxWO,Summer Walker,Constant Bullshit,93,-1,1,1957168,2021-11-11,US,LVRN/Interscope Records
94,spotify:track:0RYHqnmtNRfbYxP6Dn8Vse,siouxxie sixxsta,masquerade,83,83,5,1946111,2021-11-11,US,Elektra (NEK)
95,spotify:track:2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,5,81,23,1944929,2021-11-11,US,Rimas Entertainment LLC
96,spotify:track:4blMQHONplzay3YkNIUlcn,"Summer Walker, Lil Durk",Toxic (with Lil Durk),96,-1,1,1927634,2021-11-11,US,LVRN/Interscope Records
97,spotify:track:3pcxxaUxAMSfz2zgetHydD,Summer Walker,Insane,97,-1,1,1923096,2021-11-11,US,LVRN/Interscope Records
98,spotify:track:37BZB0z9T8Xu7U3e65qxFy,"The Weeknd, Ariana Grande",Save Your Tears (with Ariana Grande) (Remix),5,88,29,1915249,2021-11-11,US,Republic Records
99,spotify:track:4iJyoBOLtHqaGxP12qzhQI,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),1,79,34,1903898,2021-11-11,US,RBMG/Def Jam
100,spotify:track:32BeYxKPrig1LefHsC0Xuo,Billie Eilish,Happier Than Ever - Edit,74,76,9,1903892,2021-11-11,US,Darkroom/Interscope Records
1,spotify:track:7lPN2DXiMsVn7XUKtOW1CS,Olivia Rodrigo,drivers license,1,1,3,18203457,2021-01-28,US,Olivia Rodrigo PS
2,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,1,2,5,8941860,2021-01-28,US,Top Dawg Entertainment/RCA Records
3,spotify:track:60ynsPSSKe6O3sfwRnIBRf,Doja Cat,Streets,3,17,3,5924862,2021-01-28,US,Kemosabe Records/RCA Records
4,spotify:track:5vGLcdRuSbUhD8ScwsGSdA,CJ,Whoopty,4,5,14,5129946,2021-01-28,US,CJ Music Group/T-Series
5,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),2,6,25,4867686,2021-01-28,US,Records/Columbia
6,spotify:track:7hxHWCCAIIxFLCzvDgnQHX,"Internet Money, Gunna, Don Toliver, NAV",Lemonade (feat. NAV),1,7,24,4848382,2021-01-28,US,Internet Money Records / TenThousand Projects
7,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,1,13,61,4556951,2021-01-28,US,Republic Records
8,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,Ariana Grande,34+35,2,19,13,4507886,2021-01-28,US,Republic Records
9,spotify:track:27OeeYzk6klgBh83TSvGMA,The Kid LAROI,WITHOUT YOU,8,8,11,4501134,2021-01-28,US,Columbia
10,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,10,16,9,4480514,2021-01-28,US,Republic Records
11,spotify:track:4MzXwWMhyBbmu6hOcLVD49,"Bad Bunny, Jhayco",DÁKITI,1,10,13,4433440,2021-01-28,US,Rimas Entertainment LLC
12,spotify:track:35mvY5S1H3J2QZyna3TFe0,Ariana Grande,positions,1,9,14,4408812,2021-01-28,US,Republic Records
13,spotify:track:42lqBjPYlmL1EXpMDXvhSN,Morgan Wallen,Somebody’s Problem,4,15,10,4380908,2021-01-28,US,Big Loud / Republic
14,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),11,11,17,4262526,2021-01-28,US,Warner Records
15,spotify:track:3cBsEDNhFI9E82vPj3kvi3,Morgan Wallen,Wasted On You,3,12,3,4133654,2021-01-28,US,Big Loud / Republic
16,spotify:track:0psS4i5YooJrXfDnGvWRLi,"Billie Eilish, ROSALÍA",Lo Vas A Olvidar (with ROSALÍA),16,-1,1,3943012,2021-01-28,US,Darkroom/Interscope Records
17,spotify:track:43CIWpJaJHRcI4mUSjqgc2,"Juice WRLD, Young Thug",Bad Boy (with Young Thug),3,3,2,3930919,2021-01-28,US,Grade A Productions/Interscope Records
18,spotify:track:0PvFJmanyNQMseIFrU708S,"Pop Smoke, Lil Baby, DaBaby",For The Night (feat. Lil Baby & DaBaby),2,18,30,3915709,2021-01-28,US,Victor Victor Worldwide
19,spotify:track:0uRrG2jRR5tuifsYIJHEao,Morgan Wallen,Sand In My Boots,13,24,3,3878587,2021-01-28,US,Big Loud / Republic
20,spotify:track:2etHQJxIbV0soyPhelVs9Y,"Saweetie, Doja Cat",Best Friend (feat. Doja Cat),20,20,3,3812743,2021-01-28,US,ICY/Warner Records
21,spotify:track:1tkg4EHVoqnhR6iFEXb60y,Pop Smoke,What You Know Bout Love,6,21,22,3671918,2021-01-28,US,Victor Victor Worldwide
22,spotify:track:31qCy5ZaophVA81wtlwLc4,Justin Bieber,Anyone,2,14,4,3649347,2021-01-28,US,RBMG/Def Jam
23,spotify:track:4Oun2ylbjFKMPTiaSbbCih,"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),1,22,25,3602199,2021-01-28,US,Atlantic/KSR
24,spotify:track:54bFM56PmE4YLRnqpW6Tha,Billie Eilish,Therefore I Am,1,23,11,3561121,2021-01-28,US,Darkroom/Interscope Records
25,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,22,27,23,3526653,2021-01-28,US,Columbia
26,spotify:track:2SAqBLGA283SUiwJ3xOUVI,"Drake, Lil Durk",Laugh Now Cry Later (feat. Lil Durk),2,26,24,3478897,2021-01-28,US,OVO
27,spotify:track:03B2SfXuvDh1m9F4tqrX07,Sabrina Carpenter,Skin,27,-1,1,3463765,2021-01-28,US,Island Records
28,spotify:track:0A1hoCfMLkiAgvhWkkucJa,Megan Thee Stallion,Body,13,25,10,3398653,2021-01-28,US,300 Entertainment
29,spotify:track:2U5WueTLIK5WJLD7mvDODv,Juice WRLD,Wishing Well,1,30,29,3318983,2021-01-28,US,Grade A Productions/Interscope Records
30,spotify:track:4obHzpwGrjoTuZh2DItEMZ,Morgan Wallen,7 Summers,3,29,24,3251535,2021-01-28,US,Big Loud / Republic
31,spotify:track:2r6OAV3WsYtXuXjvJ1lIDi,"Pop Smoke, A Boogie Wit da Hoodie",Hello (feat. A Boogie Wit da Hoodie),31,36,21,3160605,2021-01-28,US,Victor Victor Worldwide
32,spotify:track:4VXIryQMWpIdGgYR4TrjT1,Juice WRLD,All Girls Are The Same,13,34,144,3151684,2021-01-28,US,Juice WRLD Mixtape / ISR P&D
33,spotify:track:3Uo7WG0vmLQ07WB4BDwy7D,Taylor Swift,willow,1,28,7,3096675,2021-01-28,US,Taylor Swift
34,spotify:track:7kDUspsoYfLkWnZR7qwHZl,"Machine Gun Kelly, blackbear",my ex's best friend (with blackbear),11,40,25,3094242,2021-01-28,US,Bad Boy/Interscope Records
35,spotify:track:7ytR5pFWmSjzHJIeQkgog4,"DaBaby, Roddy Ricch",ROCKSTAR (feat. Roddy Ricch),1,33,41,3094232,2021-01-28,US,South Coast Music Group/Interscope Records
36,spotify:track:45bE4HXI0AwGZXfZtMp8JR,Tate McRae,you broke me first,16,35,28,3073274,2021-01-28,US,RCA Records Label
37,spotify:track:4Iedi94TIaB2GGb1nMB68v,Lil Baby,On Me,37,55,8,3009287,2021-01-28,US,Quality Control Music/Motown Records
38,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,38,43,9,3001421,2021-01-28,US,Polydor Records
39,spotify:track:3w1WjD2zJqjBjDz5fwqQPJ,Jack Harlow,Tyler Herro,9,39,14,2975896,2021-01-28,US,Generation Now/Atlantic
40,spotify:track:5OELUCYgOHKFAvCERnAvfS,Morgan Wallen,More Than My Hometown,21,31,40,2967490,2021-01-28,US,Big Loud / Republic
41,spotify:track:2Y0wPrPQBrGhoLn14xRYCG,"Juice WRLD, Marshmello",Come & Go (with Marshmello),1,37,29,2928869,2021-01-28,US,Grade A Productions/Interscope Records
42,spotify:track:6zFMeegAMYQo0mt8rXtrli,Lil Nas X,HOLIDAY,14,32,11,2890140,2021-01-28,US,Columbia
